,message
373,"Failed password for root from 103.99.0.122 port 58123 ssh2
"
374,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
375,"Invalid user anonymous from 103.99.0.122
"
376,"input_userauth_request: invalid user anonymous [preauth]
"
377,"pam_unix(sshd:auth): check pass; user unknown
"
378,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
379,"Failed password for invalid user anonymous from 103.99.0.122 port 54051 ssh2
"
380,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
381,"Invalid user admin from 103.99.0.122
"
382,"input_userauth_request: invalid user admin [preauth]
"
383,"pam_unix(sshd:auth): check pass; user unknown
"
384,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
385,"Connection closed by 185.190.58.151 [preauth]
"
386,"PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=185.190.58.151 
"
387,"PAM service(sshd) ignoring max retries; 5 > 3
"
388,"Failed password for invalid user admin from 103.99.0.122 port 57750 ssh2
"
389,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
390,"Invalid user ubnt from 103.99.0.122
"
391,"input_userauth_request: invalid user ubnt [preauth]
"
392,"pam_unix(sshd:auth): check pass; user unknown
"
393,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
394,"Failed password for invalid user ubnt from 103.99.0.122 port 60608 ssh2
"
395,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
396,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122  user=uucp
"
397,"Failed password for uucp from 103.99.0.122 port 64009 ssh2
"
398,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
399,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122  user=sshd
"
400,"Failed password for sshd from 103.99.0.122 port 51359 ssh2
"
401,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
402,"Invalid user admin from 103.99.0.122
"
403,"input_userauth_request: invalid user admin [preauth]
"
404,"pam_unix(sshd:auth): check pass; user unknown
"
405,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
406,"Failed password for invalid user admin from 103.99.0.122 port 54739 ssh2
"
407,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
408,"Invalid user cisco from 103.99.0.122
"
409,"input_userauth_request: invalid user cisco [preauth]
"
410,"pam_unix(sshd:auth): check pass; user unknown
"
411,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
412,"Failed password for invalid user cisco from 103.99.0.122 port 58309 ssh2
"
413,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
414,"Invalid user test from 103.99.0.122
"
415,"input_userauth_request: invalid user test [preauth]
"
416,"pam_unix(sshd:auth): check pass; user unknown
"
417,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
418,"Failed password for invalid user test from 103.99.0.122 port 60250 ssh2
"
419,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
420,"Invalid user guest from 103.99.0.122
"
421,"input_userauth_request: invalid user guest [preauth]
"
422,"pam_unix(sshd:auth): check pass; user unknown
"
423,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
424,"Failed password for invalid user guest from 103.99.0.122 port 63270 ssh2
"
425,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
426,"Invalid user user from 103.99.0.122
"
427,"input_userauth_request: invalid user user [preauth]
"
428,"pam_unix(sshd:auth): check pass; user unknown
"
429,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
430,"Failed password for invalid user user from 103.99.0.122 port 49813 ssh2
"
431,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
432,"Invalid user operator from 103.99.0.122
"
433,"input_userauth_request: invalid user operator [preauth]
"
434,"pam_unix(sshd:auth): check pass; user unknown
"
435,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
436,"Invalid user admin from 185.190.58.151
"
437,"input_userauth_request: invalid user admin [preauth]
"
438,"pam_unix(sshd:auth): check pass; user unknown
"
439,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=185.190.58.151 
"
440,"Failed password for invalid user operator from 103.99.0.122 port 53492 ssh2
"
441,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
442,"Failed password for invalid user admin from 185.190.58.151 port 49948 ssh2
"
443,"Invalid user admin from 103.99.0.122
"
444,"input_userauth_request: invalid user admin [preauth]
"
445,"pam_unix(sshd:auth): check pass; user unknown
"
446,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
447,"Failed password for invalid user admin from 103.99.0.122 port 56901 ssh2
"
448,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
449,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122  user=root
"
450,"Failed password for root from 103.99.0.122 port 59841 ssh2
"
451,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
452,"Invalid user admin from 103.99.0.122
"
453,"input_userauth_request: invalid user admin [preauth]
"
454,"pam_unix(sshd:auth): check pass; user unknown
"
455,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
456,"Failed password for invalid user admin from 103.99.0.122 port 63168 ssh2
"
457,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
458,"pam_unix(sshd:auth): check pass; user unknown
"
459,"Invalid user admin from 103.99.0.122
"
460,"input_userauth_request: invalid user admin [preauth]
"
461,"pam_unix(sshd:auth): check pass; user unknown
"
462,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
463,"Failed password for invalid user admin from 185.190.58.151 port 49948 ssh2
"
464,"Failed password for invalid user admin from 103.99.0.122 port 50011 ssh2
"
465,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
466,"Invalid user admin from 103.99.0.122
"
467,"input_userauth_request: invalid user admin [preauth]
"
468,"pam_unix(sshd:auth): check pass; user unknown
"
469,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
470,"Failed password for invalid user admin from 103.99.0.122 port 53531 ssh2
"
471,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
472,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122  user=ftp
"
473,"Failed password for ftp from 103.99.0.122 port 56079 ssh2
"
474,"Connection closed by 185.190.58.151 [preauth]
"
475,"PAM 1 more authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=185.190.58.151 
"
476,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
477,"Invalid user monitor from 103.99.0.122
"
478,"input_userauth_request: invalid user monitor [preauth]
"
479,"pam_unix(sshd:auth): check pass; user unknown
"
480,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
481,"Failed password for invalid user monitor from 103.99.0.122 port 59812 ssh2
"
482,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
483,"Invalid user ftpuser from 103.99.0.122
"
484,"input_userauth_request: invalid user ftpuser [preauth]
"
485,"pam_unix(sshd:auth): check pass; user unknown
"
486,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
487,"Failed password for invalid user ftpuser from 103.99.0.122 port 62891 ssh2
"
488,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
489,"Invalid user pi from 103.99.0.122
"
490,"input_userauth_request: invalid user pi [preauth]
"
491,"pam_unix(sshd:auth): check pass; user unknown
"
492,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
493,"Failed password for invalid user pi from 103.99.0.122 port 49289 ssh2
"
494,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
495,"Invalid user PlcmSpIp from 103.99.0.122
"
496,"input_userauth_request: invalid user PlcmSpIp [preauth]
"
497,"pam_unix(sshd:auth): check pass; user unknown
"
498,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
499,"Failed password for invalid user PlcmSpIp from 103.99.0.122 port 51966 ssh2
"
500,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
501,"Invalid user Management from 103.99.0.122
"
502,"input_userauth_request: invalid user Management [preauth]
"
503,"pam_unix(sshd:auth): check pass; user unknown
"
504,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
505,"Failed password for invalid user Management from 103.99.0.122 port 55028 ssh2
"
506,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
507,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122  user=root
"
508,"Failed password for root from 103.99.0.122 port 57956 ssh2
"
509,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
510,"Invalid user ftpuser from 103.99.0.122
"
511,"input_userauth_request: invalid user ftpuser [preauth]
"
512,"pam_unix(sshd:auth): check pass; user unknown
"
513,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122 
"
514,"Failed password for invalid user ftpuser from 103.99.0.122 port 60836 ssh2
"
515,"error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth]
"
516,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
517,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
518,"Failed password for root from 187.141.143.180 port 33314 ssh2
"
519,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
520,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
521,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
522,"Failed password for root from 187.141.143.180 port 34508 ssh2
"
523,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
524,"Invalid user api from 185.190.58.151
"
525,"input_userauth_request: invalid user api [preauth]
"
526,"pam_unix(sshd:auth): check pass; user unknown
"
527,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=185.190.58.151 
"
528,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
529,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
530,"Failed password for invalid user api from 185.190.58.151 port 36894 ssh2
"
531,"Failed password for root from 187.141.143.180 port 35685 ssh2
"
532,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
533,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
534,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
535,"Connection closed by 185.190.58.151 [preauth]
"
536,"Failed password for root from 187.141.143.180 port 36902 ssh2
"
537,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
538,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
539,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
540,"Failed password for root from 187.141.143.180 port 38180 ssh2
"
541,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
542,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
543,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
544,"Failed password for root from 187.141.143.180 port 39319 ssh2
"
545,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
546,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
547,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
548,"Failed password for root from 187.141.143.180 port 40414 ssh2
"
549,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
550,"Did not receive identification string from 185.190.58.151
"
551,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
552,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
553,"Failed password for root from 187.141.143.180 port 41834 ssh2
"
554,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
555,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
556,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
557,"Failed password for root from 187.141.143.180 port 43092 ssh2
"
558,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
559,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
560,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
561,"Failed password for root from 187.141.143.180 port 44328 ssh2
"
562,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
563,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
564,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
565,"Failed password for root from 187.141.143.180 port 45696 ssh2
"
566,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
567,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
568,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
569,"Failed password for root from 187.141.143.180 port 47004 ssh2
"
570,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
571,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
572,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
573,"Failed password for root from 187.141.143.180 port 48339 ssh2
"
574,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
575,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
576,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
577,"Failed password for root from 187.141.143.180 port 49674 ssh2
"
578,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
579,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
580,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
581,"Failed password for root from 187.141.143.180 port 50880 ssh2
"
582,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
583,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
584,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
585,"Failed password for root from 187.141.143.180 port 52176 ssh2
"
586,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
587,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
588,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
589,"Failed password for root from 187.141.143.180 port 53403 ssh2
"
590,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
591,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
592,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
593,"Failed password for root from 187.141.143.180 port 54560 ssh2
"
594,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
595,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
596,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
597,"Failed password for root from 187.141.143.180 port 55849 ssh2
"
598,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
599,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
600,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
601,"Failed password for root from 187.141.143.180 port 57037 ssh2
"
602,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
603,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
604,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
605,"Failed password for root from 187.141.143.180 port 58386 ssh2
"
606,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
607,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
608,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
609,"Failed password for root from 187.141.143.180 port 59705 ssh2
"
610,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
611,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
612,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
613,"Failed password for root from 187.141.143.180 port 60924 ssh2
"
614,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
615,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
616,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
617,"Failed password for root from 187.141.143.180 port 34001 ssh2
"
618,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
619,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
620,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
621,"Failed password for root from 187.141.143.180 port 35172 ssh2
"
622,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
623,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
624,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
625,"Failed password for root from 187.141.143.180 port 36419 ssh2
"
626,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
627,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
628,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
629,"Failed password for root from 187.141.143.180 port 37678 ssh2
"
630,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
631,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
632,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
633,"Failed password for root from 187.141.143.180 port 38937 ssh2
"
634,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
635,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
636,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
637,"Failed password for root from 187.141.143.180 port 40297 ssh2
"
638,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
639,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
640,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
641,"Failed password for root from 187.141.143.180 port 41667 ssh2
"
642,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
643,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
644,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
645,"Failed password for root from 187.141.143.180 port 42938 ssh2
"
646,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
647,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
648,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
649,"Failed password for root from 187.141.143.180 port 44414 ssh2
"
650,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
651,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
652,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
653,"Failed password for root from 187.141.143.180 port 45661 ssh2
"
654,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
655,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
656,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
657,"Failed password for root from 187.141.143.180 port 46878 ssh2
"
658,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
659,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
660,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
661,"Failed password for root from 187.141.143.180 port 48241 ssh2
"
662,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
663,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
664,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
665,"Failed password for root from 187.141.143.180 port 49494 ssh2
"
666,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
667,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
668,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
669,"Failed password for root from 187.141.143.180 port 50811 ssh2
"
670,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
671,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
672,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
673,"Failed password for root from 187.141.143.180 port 52212 ssh2
"
674,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
675,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
676,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
677,"Failed password for root from 187.141.143.180 port 53589 ssh2
"
678,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
679,"reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!
"
680,"pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root
"
681,"Failed password for root from 187.141.143.180 port 54980 ssh2
"
682,"Received disconnect from 187.141.143.180: 11: Bye Bye [preauth]
"
